a,b,c,f
-0.000218566,1.099988305,1.085836153,-0.000109283
-0.000150264,1.100001966,1.085986418,2.73E-05
-0.004794793,1.026003696,1.087639323,-5.46E-05
-0.022512304,0.454863278,1.094701739,2.73E-05
0.00648868,0.158610653,1.089510795,-1.37E-05
0.017376001,0.084830949,4.009443986,-0.000122943
-0.956294786,-1.099947324,1.095876532,-1.100480079
-1.088568229,-1.099960985,1.08497555,-1.100193211
-1.103335098,-1.099988305,1.083609512,-1.100124909
-1.097584079,-1.100015626,1.085494644,-1.100111249
-1.096040456,-1.100015626,1.085303399,-1.10013857
-1.096067777,-1.099988305,1.084552078,-1.10015223
-1.096054116,-1.099974645,1.084196908,-1.10015223
-1.095958494,-1.100029287,1.083869059,-1.100070268
-1.09580823,-1.100029287,1.083513889,-1.100070268
-1.095712607,-1.100015626,1.083240682,-1.100111249
-1.095603324,-1.100056607,1.08283087,-1.100124909
-1.073213964,-0.716555146,1.074566341,-1.10013857
-1.071793285,-0.24986198,1.073323247,-1.10015223
-1.094920305,-0.087098572,0.702881107,-1.100220532
-1.106408683,-0.030367021,0.245599942,-1.100097588
-5.853294534,-0.01625585,0.127492311,-5.613076781
-0.86548059,-1.100015626,1.091764758,-1.100357136
-1.06477185,-1.100001966,1.082065889,-1.100193211
-1.107146344,-1.100029287,1.079470417,-1.10013857
-1.099332607,-1.100029287,0.818953342,-1.100124909
-0.936664822,-1.100029287,0.297263493,-0.701774616
-0.405412708,-1.777966543,0.153515332,-0.375974593
-0.037648003,-1.100001966,-1.090876833,0.000122943
0.02167902,-1.09907306,-1.119399703,-0.000163925
0.039259927,-0.63944231,-1.136925968,-0.000136604
0.005996906,-0.222964695,-1.129685968,0
