a,b,c,d,e,f
-0.278345585,-0.655034125,0.53631717,-0.278641552,-0.656576753,0.54788059
-0.278641552,-0.656576753,0.54788059,-0.275916725,-0.641451538,0.561016977
-0.275916725,-0.641451538,0.561016977,-0.286932915,-0.645196259,0.560308158
-0.286932915,-0.645196259,0.560308158,-0.302862555,-0.651100576,0.556421101
-0.302862555,-0.651100576,0.556421101,-0.318144947,-0.65626657,0.55494529
-0.318144947,-0.65626657,0.55494529,-0.333349794,-0.661018193,0.554116786
-0.333349794,-0.661018193,0.554116786,-0.349098295,-0.665790141,0.552783787
-0.349098295,-0.665790141,0.552783787,-0.365154564,-0.670262933,0.551171005
-0.365154564,-0.670262933,0.551171005,-0.381510377,-0.674310923,0.549400032
-0.381510377,-0.674310923,0.549400032,-0.398111284,-0.677935243,0.547418416
-0.398111284,-0.677935243,0.547418416,-0.414994001,-0.681158841,0.545198262
-0.414994001,-0.681158841,0.545198262,-0.432114571,-0.683930933,0.542746484
-0.432114571,-0.683930933,0.542746484,-0.449485719,-0.686270595,0.540070474
-0.449485719,-0.686270595,0.540070474,-0.467062861,-0.688121974,0.537293494
-0.467062861,-0.688121974,0.537293494,-0.48354435,-0.687162519,0.540231407
-0.48354435,-0.687162519,0.540231407,-0.497957438,-0.681071699,0.551617682
-0.497957438,-0.681071699,0.551617682,-0.511162221,-0.671892345,0.560559094
-0.511162221,-0.671892345,0.560559094,-0.524625003,-0.662552118,0.562654912
-0.524625003,-0.662552118,0.562654912,-0.572914779,-0.623079062,0.563013613
-0.572914779,-0.623079062,0.563013613,-0.587223649,-0.625458598,0.564340293
-0.587223649,-0.625458598,0.564340293,-0.607940316,-0.625929356,0.560716569
-0.607940316,-0.625929356,0.560716569,-0.627230108,-0.624015808,0.55731529
-0.627230108,-0.624015808,0.55731529,-0.644948602,-0.620201409,0.551736653
-0.644948602,-0.620201409,0.551736653,-0.660964072,-0.616230905,0.538555562
-0.660964072,-0.616230905,0.538555562,-0.673028231,-0.623113275,0.512229741
-0.673028231,-0.623113275,0.512229741,-0.67465049,-0.624975204,0.490150988
-0.67465049,-0.624975204,0.490150988,-0.679914951,-0.632090092,0.455245376
-0.679914951,-0.632090092,0.455245376,-0.681689441,-0.635351777,0.42985481
-0.681689441,-0.635351777,0.42985481,-0.67988199,-0.633350611,0.417787611
-0.67988199,-0.633350611,0.417787611,-0.677901685,-0.630379438,0.407935977
-0.677901685,-0.630379438,0.407935977,-0.672364533,-0.622532308,0.362285733
-0.672364533,-0.622532308,0.362285733,-0.672364533,-0.622532308,0.362285733
-0.378635406,-0.648945987,0.414271295,-0.364851624,-0.642070234,0.412201703
-0.364851624,-0.642070234,0.412201703,-0.348687232,-0.637855053,0.41788435
-0.348687232,-0.637855053,0.41788435,-0.333714485,-0.635353565,0.427333355
-0.333714485,-0.635353565,0.427333355,-0.319520354,-0.634073853,0.438841939
-0.319520354,-0.634073853,0.438841939,-0.305629551,-0.633207023,0.451532364
-0.305629551,-0.633207023,0.451532364,-0.292631984,-0.634500802,0.459373772
-0.292631984,-0.634500802,0.459373772,-0.275677592,-0.640967965,0.461238921
-0.275677592,-0.640967965,0.461238921,-0.27341491,-0.643731296,0.440315008
