a,b,c
-0.57387638,-0.46590972,0.35903198
-0.47576559,-0.45310003,0.56059593
-0.57595694,-0.45288754,0.50963384
-0.57500899,-0.45205033,0.35903603
-0.57500899,-0.45205033,0.35903603
-0.49664691,-0.49041033,0.55988294
-0.59684563,-0.49034628,0.50886565
-0.59580338,-0.48944253,0.3581838
-0.59580338,-0.48944253,0.3581838
-0.48387197,-0.46156958,0.56005961
-0.58405864,-0.46139041,0.50904018
-0.58305919,-0.46069059,0.35850489
-0.58305919,-0.46069059,0.35850489
-0.45538294,-0.45411021,0.56038648
-0.55539966,-0.4538044,0.50945908
-0.55456245,-0.45300728,0.35878414
-0.55456245,-0.45300728,0.35878414
-0.46739987,-0.48974219,0.55958349
-0.56749362,-0.48943684,0.50856525
-0.56653011,-0.48836321,0.35796767
-0.56653011,-0.48836321,0.35796767
-0.45914876,-0.47376218,0.56016392
-0.55923986,-0.47365317,0.50908679
-0.55828321,-0.47269842,0.35814035
-0.55828321,-0.47269842,0.35814035
-0.065648973,-0.60025227,0.46246868
-0.065458484,-0.62921083,0.26311982
-0.065737091,-0.60091859,0.56230003
-0.065649062,-0.60021627,0.46253961
-0.06538979,-0.62924999,0.26311648
-0.065735407,-0.60087276,0.56236809
-0.065648347,-0.60018915,0.46260297
-0.065395407,-0.62926739,0.26311034
-0.065739162,-0.60083604,0.56242782
-0.065648153,-0.60015655,0.46267009
-0.065489464,-0.62939012,0.26314789
-0.06573987,-0.60080481,0.56247944
-0.065639243,-0.60014552,0.46271366
-0.065476872,-0.62938869,0.26316422
-0.065733232,-0.6007762,0.56253868
-0.065660506,-0.60013998,0.46272439
-0.065536633,-0.62940079,0.26316482
-0.06575577,-0.60077333,0.56254154
-0.07851173,-0.58156031,0.46288037
-0.07825198,-0.61073911,0.26340771
-0.078612052,-0.58218485,0.5626815
-0.065652698,-0.60011429,0.46279019
-0.065375462,-0.62930262,0.26327443
-0.065744638,-0.60073948,0.56260961
-0.065660097,-0.6000976,0.46283472
-0.065363936,-0.62929231,0.26331639
-0.065754808,-0.60071623,0.56264907
-0.065667883,-0.60006279,0.46290559
-0.065404139,-0.62928069,0.26338685
-0.065767355,-0.60067105,0.56271905
-0.065667033,-0.60004556,0.46294272
-0.06539318,-0.62928593,0.26343918
-0.065764584,-0.60064125,0.56276423
-0.065669633,-0.60002494,0.46299237
-0.065389179,-0.62927413,0.26348501
-0.065767936,-0.60061508,0.56281489
-0.065676562,-0.59999746,0.46305609
-0.065397039,-0.62927884,0.263569
-0.065780871,-0.60056418,0.56289536
-0.065678261,-0.6017316,0.46312445
-0.065395191,-0.6310302,0.26361066
-0.065781973,-0.60229111,0.56295866
-0.065683752,-0.59992212,0.46320885
-0.065374814,-0.62924117,0.26369303
-0.065789714,-0.60047019,0.56303817
-0.055266939,-0.58898848,0.4633373
-0.054959647,-0.61832404,0.26388484
-0.055369943,-0.5895139,0.56317455
-0.065688141,-0.59988701,0.46328306
-0.06539233,-0.62923437,0.26377618
-0.065798737,-0.60042244,0.56311435
-0.065696239,-0.5998528,0.4633618
-0.065391377,-0.62922657,0.26387298
-0.06580653,-0.60037607,0.56319159
-0.065702543,-0.59981781,0.46343696
-0.065398417,-0.62920153,0.26393002
-0.065819539,-0.60033,0.56326348
-0.065712325,-0.59978259,0.463507
-0.065404765,-0.62919223,0.26401603
-0.06583184,-0.60027266,0.56335109
-0.74960667,-0.4861846,0.55934232
-0.79920208,-0.4859288,0.45879406
-0.79857975,-0.48540187,0.35891652
-0.79857975,-0.48540187,0.35891652
-0.74987161,-0.4620389,0.55960661
-0.79947782,-0.46181449,0.4590646
-0.79885823,-0.46128786,0.35922915
-0.79885823,-0.46128786,0.35922915
-0.71755886,-0.4778536,0.55992788
-0.76719022,-0.47763026,0.45941657
-0.76660711,-0.47710335,0.35957885
-0.76660711,-0.47710335,0.35957885
-0.71774244,-0.46399164,0.56006986
-0.76737845,-0.46378335,0.45956355
-0.76680291,-0.46327454,0.35972315
-0.76680291,-0.46327454,0.35972315
-0.73543411,-0.47521934,0.5599156
-0.78506607,-0.47500667,0.45939356
-0.7844786,-0.47448978,0.35955685
-0.7844786,-0.47448978,0.35955685
-0.71079755,-0.47495401,0.56015342
-0.76044357,-0.47474444,0.45965379
-0.75987989,-0.47423211,0.3598091
-0.75987989,-0.47423211,0.3598091
-0.71343446,-0.47629064,0.56013721
-0.76307899,-0.47608143,0.4596374
-0.76252323,-0.47559968,0.35975403
-0.76252323,-0.47559968,0.35975403
-0.73309046,-0.48356363,0.55996305
-0.78272712,-0.48335323,0.45944607
-0.78214759,-0.48283547,0.35960805
-0.78214759,-0.48283547,0.35960805
-0.73554403,-0.46527332,0.56011385
