a,b,c,d,e,f
-0.65335798,-0.46109024,0.20018828,-0.1965863,-0.57949096,0.56081253
-0.65335798,-0.46109024,0.20018828,-0.45538294,-0.45411021,0.56038648
-0.65335798,-0.46109024,0.20018828,-0.55539966,-0.4538044,0.50945908
-0.65335798,-0.46109024,0.20018828,-0.55456245,-0.45300728,0.35878414
-0.66518724,-0.49624711,0.19989586,-0.19159184,-0.56418777,0.5606249
-0.66518724,-0.49624711,0.19989586,-0.46739987,-0.48974219,0.55958349
-0.66518724,-0.49624711,0.19989586,-0.56749362,-0.48943684,0.50856525
-0.66518724,-0.49624711,0.19989586,-0.56653011,-0.48836321,0.35796767
-0.65686131,-0.48062292,0.20001614,-0.19715814,-0.59489,0.5605914
-0.65686131,-0.48062292,0.20001614,-0.45914876,-0.47376218,0.56016392
-0.65686131,-0.48062292,0.20001614,-0.55923986,-0.47365317,0.50908679
-0.65686131,-0.48062292,0.20001614,-0.55828321,-0.47269842,0.35814035
-0.06504605,-0.60870951,0.19850057,-0.37875709,-0.64953792,0.41277331
-0.06504605,-0.60870951,0.19850057,-0.065648973,-0.60025227,0.46246868
-0.065189436,-0.60889238,0.1984868,-0.065458484,-0.62921083,0.26311982
-0.06504605,-0.60870951,0.19849938,-0.37874311,-0.64951706,0.41284406
-0.06504605,-0.60870951,0.19849938,-0.065649062,-0.60021627,0.46253961
-0.065029562,-0.60898507,0.19848526,-0.06538979,-0.62924999,0.26311648
-0.06504605,-0.60870951,0.19849938,-0.37873021,-0.64949155,0.41293263
-0.06504605,-0.60870951,0.19849938,-0.065648347,-0.60018915,0.46260297
-0.065114006,-0.60902059,0.19849026,-0.065395407,-0.62926739,0.26311034
-0.06504605,-0.60870951,0.19849938,-0.37871629,-0.64947253,0.41300952
-0.065037653,-0.60870951,0.19849938,-0.065648153,-0.60015655,0.46267009
-0.065216735,-0.60914201,0.19848901,-0.065489464,-0.62939012,0.26314789
-0.065032192,-0.60871398,0.19850057,-0.37871432,-0.64945972,0.4130587
-0.065022536,-0.60871398,0.19850057,-0.065639243,-0.60014552,0.46271366
-0.06515085,-0.60909307,0.19849551,-0.065476872,-0.62938869,0.26316422
-0.06504605,-0.60870951,0.19849938,-0.37871945,-0.64944977,0.41309154
-0.06504605,-0.60870951,0.19849938,-0.065660506,-0.60013998,0.46272439
-0.065234236,-0.60910344,0.19849223,-0.065536633,-0.62940079,0.26316482
-0.077883102,-0.59022921,0.19850057,-0.3787165,-0.64943677,0.41313291
-0.077883102,-0.59022921,0.19850057,-0.07851173,-0.58156031,0.46288037
-0.07789167,-0.59063995,0.19849455,-0.07825198,-0.61073911,0.26340771
-0.065039553,-0.60870951,0.19849938,-0.37871048,-0.64943749,0.41315424
-0.065023229,-0.60870951,0.19849938,-0.065652698,-0.60011429,0.46279019
-0.065022431,-0.60902345,0.1984936,-0.065375462,-0.62930262,0.26327443
-0.06504605,-0.60870951,0.19849938,-0.37870306,-0.6494233,0.41321582
-0.06504605,-0.60870951,0.19849938,-0.065660097,-0.6000976,0.46283472
-0.065058365,-0.60900295,0.1984942,-0.065363936,-0.62929231,0.26331639
-0.06504605,-0.60870951,0.19849938,-0.37869737,-0.64939952,0.41328734
-0.06504605,-0.60870951,0.19849938,-0.065667883,-0.60006279,0.46290559
-0.065075904,-0.60901582,0.19849175,-0.065404139,-0.62928069,0.26338685
-0.06504605,-0.60870951,0.19849938,-0.37869123,-0.64938772,0.41333181
-0.06504605,-0.60870951,0.19849938,-0.065667033,-0.60004556,0.46294272
-0.065073684,-0.60902369,0.19849533,-0.06539318,-0.62928593,0.26343918
-0.06504605,-0.60870951,0.19849938,-0.37868264,-0.64936662,0.41340828
-0.06504605,-0.60870951,0.19849938,-0.065669633,-0.60002494,0.46299237
-0.065053381,-0.60901302,0.19849759,-0.065389179,-0.62927413,0.26348501
-0.06504605,-0.60870951,0.19849938,-0.37868094,-0.64935029,0.41346729
-0.06504605,-0.60870951,0.19849938,-0.065676562,-0.59999746,0.46305609
-0.065073706,-0.60901618,0.19849414,-0.065397039,-0.62927884,0.263569
-0.065042295,-0.61047572,0.19849938,-0.37867197,-0.64931613,0.41357142
-0.065030217,-0.61047572,0.19849938,-0.065678261,-0.6017316,0.46312445
-0.065056778,-0.61076635,0.19849682,-0.065395191,-0.6310302,0.26361066
-0.06504605,-0.60870951,0.19849938,-0.37865624,-0.64929098,0.41365927
-0.06504605,-0.60870951,0.19849938,-0.065683752,-0.59992212,0.46320885
-0.065049082,-0.60901654,0.19849432,-0.065374814,-0.62924117,0.26369303
-0.054617476,-0.59783828,0.19850057,-0.3786484,-0.64926469,0.4137392
-0.054617476,-0.59783828,0.19850057,-0.055266939,-0.58898848,0.4633373
-0.054594953,-0.59824955,0.1984942,-0.054959647,-0.61832404,0.26388484
-0.06504605,-0.60870951,0.19850057,-0.37864402,-0.64925873,0.41376162
-0.06504605,-0.60870951,0.19850057,-0.065688141,-0.59988701,0.46328306
-0.065070443,-0.60901344,0.19849926,-0.06539233,-0.62923437,0.26377618
-0.06504605,-0.60870951,0.19849938,-0.37864041,-0.64923555,0.41384357
-0.06504605,-0.60870951,0.19849938,-0.065696239,-0.5998528,0.4633618
-0.065078631,-0.60902435,0.19849396,-0.065391377,-0.62922657,0.26387298
-0.06504605,-0.60870951,0.19849938,-0.37863311,-0.64920849,0.41393524
-0.06504605,-0.60870951,0.19849938,-0.065702543,-0.59981781,0.46343696
-0.065070041,-0.60900968,0.19849461,-0.065398417,-0.62920153,0.26393002
-0.06504605,-0.60870951,0.19849938,-0.37862712,-0.64917725,0.41402107
-0.06504605,-0.60870951,0.19849938,-0.065712325,-0.59978259,0.463507
-0.065090403,-0.6090253,0.19849795,-0.065404765,-0.62919223,0.26401603
-0.68261439,-0.49400011,0.19999999,-0.065737091,-0.60091859,0.56230003
-0.68261439,-0.49400011,0.19999999,-0.74960667,-0.4861846,0.55934232
-0.68261439,-0.49400011,0.19999999,-0.79920208,-0.4859288,0.45879406
-0.68261439,-0.49400011,0.19999999,-0.79857975,-0.48540187,0.35891652
-0.69741458,-0.47009182,0.20362931,-0.065735407,-0.60087276,0.56236809
-0.69741458,-0.47009182,0.20362931,-0.74987161,-0.4620389,0.55960661
-0.69741458,-0.47009182,0.20362931,-0.79947782,-0.46181449,0.4590646
-0.69741458,-0.47009182,0.20362931,-0.79885823,-0.46128786,0.35922915
-0.66781878,-0.48448557,0.20286685,-0.065739162,-0.60083604,0.56242782
-0.66781878,-0.48448557,0.20286685,-0.71755886,-0.4778536,0.55992788
-0.66781878,-0.48448557,0.20286685,-0.76719022,-0.47763026,0.45941657
-0.66781878,-0.48448557,0.20286685,-0.76660711,-0.47710335,0.35957885
-0.66615331,-0.47340947,0.20043856,-0.06573987,-0.60080481,0.56247944
-0.66615331,-0.47340947,0.20043856,-0.71774244,-0.46399164,0.56006986
-0.66615331,-0.47340947,0.20043856,-0.76737845,-0.46378335,0.45956355
-0.66615331,-0.47340947,0.20043856,-0.76680291,-0.46327454,0.35972315
-0.68345714,-0.48302859,0.19984639,-0.065733232,-0.6007762,0.56253868
-0.68345714,-0.48302859,0.19984639,-0.73543411,-0.47521934,0.5599156
-0.68345714,-0.48302859,0.19984639,-0.78506607,-0.47500667,0.45939356
-0.68345714,-0.48302859,0.19984639,-0.7844786,-0.47448978,0.35955685
-0.65895838,-0.48275486,0.20249927,-0.06575577,-0.60077333,0.56254154
-0.65895838,-0.48275486,0.20249927,-0.71079755,-0.47495401,0.56015342
-0.65895838,-0.48275486,0.20249927,-0.76044357,-0.47474444,0.45965379
-0.65895838,-0.48275486,0.20249927,-0.75987989,-0.47423211,0.3598091
-0.66154385,-0.48412845,0.19988304,-0.078612052,-0.58218485,0.5626815
-0.66154385,-0.48412845,0.19988304,-0.71343446,-0.47629064,0.56013721
-0.66154385,-0.48412845,0.19988304,-0.76307899,-0.47608143,0.4596374
-0.66154385,-0.48412845,0.19988304,-0.76252323,-0.47559968,0.35975403
-0.68118876,-0.49148321,0.20398194,-0.065744638,-0.60073948,0.56260961
-0.68118876,-0.49148321,0.20398194,-0.73309046,-0.48356363,0.55996305
-0.68118876,-0.49148321,0.20398194,-0.78272712,-0.48335323,0.45944607
-0.68118876,-0.49148321,0.20398194,-0.78214759,-0.48283547,0.35960805
-0.68356776,-0.47322175,0.20236319,-0.065754808,-0.60071623,0.56264907
-0.68356776,-0.47322175,0.20236319,-0.73554403,-0.46527332,0.56011385
-0.68356776,-0.47322175,0.20236319,-0.7851885,-0.46508041,0.45959717
-0.68356776,-0.47322175,0.20236319,-0.78462476,-0.46461096,0.35971451
-0.66135347,-0.49313772,0.20926154,-0.065767355,-0.60067105,0.56271905
-0.66135347,-0.49313772,0.20926154,-0.71339619,-0.48544347,0.56028527
-0.66135347,-0.49313772,0.20926154,-0.7630561,-0.48524794,0.45978993
-0.66135347,-0.49313772,0.20926154,-0.7625162,-0.48477226,0.35990632
-0.67424506,-0.46462062,0.20174807,-0.065764584,-0.60064125,0.56276423
-0.67424506,-0.46462062,0.20174807,-0.7260887,-0.45665553,0.56042856
-0.67424506,-0.46462062,0.20174807,-0.77575219,-0.45648697,0.4599309
-0.67424506,-0.46462062,0.20174807,-0.77520269,-0.45601076,0.36008841
-0.69015747,-0.48448795,0.20417684,-0.065767936,-0.60061508,0.56281489
-0.69015747,-0.48448795,0.20417684,-0.74190009,-0.47582614,0.56020981
-0.69015747,-0.48448795,0.20417684,-0.79155523,-0.47564533,0.45969713
-0.69015747,-0.48448795,0.20417684,-0.79100382,-0.47518253,0.35981822
-0.6580199,-0.48568648,0.21903282,-0.065780871,-0.60056418,0.56289536
-0.6580199,-0.48568648,0.21903282,-0.71224308,-0.47928208,0.5606001
-0.6580199,-0.48568648,0.21903282,-0.76192272,-0.47911581,0.46012074
-0.6580199,-0.48568648,0.21903282,-0.76140881,-0.47866744,0.36023611
-0.69418848,-0.49484041,0.20503348,-0.065781973,-0.60229111,0.56295866
-0.69418848,-0.49484041,0.20503348,-0.74626458,-0.48663104,0.56033438
-0.69418848,-0.49484041,0.20503348,-0.79593223,-0.48646247,0.45982462
-0.69418848,-0.49484041,0.20503348,-0.79538286,-0.48598027,0.3599903
-0.69037032,-0.48021585,0.20322084,-0.065789714,-0.60047019,0.56303817
-0.69037032,-0.48021585,0.20322084,-0.74229395,-0.47219315,0.56055015
-0.69037032,-0.48021585,0.20322084,-0.79197377,-0.47204328,0.46005225
-0.69037032,-0.48021585,0.20322084,-0.7914505,-0.47160974,0.36016941
-0.65746385,-0.47757775,0.19985288,-0.055369943,-0.5895139,0.56317455
-0.65746385,-0.47757775,0.19985288,-0.70908749,-0.46948493,0.56093425
-0.65746385,-0.47757775,0.19985288,-0.7587958,-0.46935502,0.46044749
-0.65746385,-0.47757775,0.19985288,-0.758304,-0.46893468,0.36055803
-0.67085963,-0.46738109,0.19990653,-0.065798737,-0.60042244,0.56311435
-0.67085963,-0.46738109,0.19990653,-0.72249877,-0.45925987,0.56093282
-0.67085963,-0.46738109,0.19990653,-0.77220041,-0.45913488,0.4604606
-0.67085963,-0.46738109,0.19990653,-0.77169818,-0.45869616,0.3606174
-0.70037341,-0.466028,0.20251495,-0.06580653,-0.60037607,0.56319159
